loc1,loc2,loc3,loc4,loc5,loc6,loc7,loc8,loc9,loc10,loc11,loc12,loc13,loc14,corrAns,trials1.thisRepN,trials1.thisTrialN,trials1.thisN,trials1.thisIndex,instr1.started,instr1.stopped,keyResp1.keys,keyResp1.rt,keyResp1.started,keyResp1.stopped,l1ex.started,l1ex.stopped,l2ex.started,l2ex.stopped,t1ex.started,t1ex.stopped,tTex.started,tTex.stopped,fix1.started,fix1.stopped,trial1Fix.started,trial1Fix.stopped,trial1L11.started,trial1L11.stopped,trial1L12.started,trial1L12.stopped,trial1L21.started,trial1L21.stopped,trial1L22.started,trial1L22.stopped,trial1T11.started,trial1T11.stopped,trial1T12.started,trial1T12.stopped,trial1TT.started,trial1TT.stopped,trial1Resp.keys,trial1Resp.corr,trial1Resp.started,trial1Resp.stopped,trial1Resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,15.004881300032139,None,space,0.37700709991622716,15.004881300032139,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_29_1453,vSearchAlpha3,2020.1.3,60.028189228686124,
0.4,0.0,-0.2,0.2,0.0,0.0,-0.4,-0.2,0.4,0.2,0.0,0.2,None,None,None,0,0,0,0,,,,,,,15.004881300032139,None,15.004881300032139,None,15.004881300032139,None,15.004881300032139,None,15.413590600015596,None,19.494683900033124,None,16.507301099947654,19.511346000013873,16.507301099947654,19.511346000013873,16.507301099947654,19.511346000013873,16.507301099947654,19.511346000013873,16.507301099947654,19.511346000013873,16.507301099947654,19.511346000013873,16.507301099947654,19.511346000013873,None,1,16.507301099947654,None,,a,001,2020_May_29_1453,vSearchAlpha3,2020.1.3,60.028189228686124,
0.4,-0.2,0.4,0.0,0.2,0.2,None,None,0.0,0.0,-0.2,0.2,0.4,0.2,space,0,1,1,1,,,,,,,,,,,,,,,,,23.427082299953327,None,20.431660700007342,23.44376439996995,20.431660700007342,23.44376439996995,20.431660700007342,23.44376439996995,20.431660700007342,23.44376439996995,20.431660700007342,23.44376439996995,20.431660700007342,23.44376439996995,20.431660700007342,23.44376439996995,space,1,20.431660700007342,None,1.846109800040722,a,001,2020_May_29_1453,vSearchAlpha3,2020.1.3,60.028189228686124,
0.0,0.2,0.4,-0.2,-0.4,-0.2,0.0,0.0,0.2,0.2,None,None,0.2,-0.2,space,0,2,2,2,,,,,,,,,,,,,,,,,27.409442099975422,28.4091097000055,24.428043100051582,27.442623100010678,24.428043100051582,27.442623100010678,24.428043100051582,27.442623100010678,24.428043100051582,27.442623100010678,24.428043100051582,27.442623100010678,24.428043100051582,27.442623100010678,24.428043100051582,27.442623100010678,space,1,24.428043100051582,None,2.2097600999986753,a,001,2020_May_29_1453,vSearchAlpha3,2020.1.3,60.028189228686124,
-0.2,0.2,0.4,-0.2,0.0,0.2,0.0,0.2,-0.4,-0.2,0.0,0.0,None,None,None,0,3,3,3,,,,,,,,,,,,,,,,,31.408371399971657,32.40809739998076,28.426946399966255,31.441789599950425,28.426946399966255,31.441789599950425,28.426946399966255,31.441789599950425,28.426946399966255,31.441789599950425,28.426946399966255,31.441789599950425,28.426946399966255,31.441789599950425,28.426946399966255,31.441789599950425,None,1,28.426946399966255,None,,a,001,2020_May_29_1453,vSearchAlpha3,2020.1.3,60.028189228686124,
0.4,-0.2,None,None,-0.4,0.0,0.4,0.2,0.0,0.2,0.2,-0.2,0.0,0.0,space,0,4,4,4,,,,,,,,,,,,,,,,,35.40812579996418,None,32.426032299990766,35.44113259995356,32.426032299990766,35.44113259995356,32.426032299990766,35.44113259995356,32.426032299990766,35.44113259995356,32.426032299990766,35.44113259995356,32.426032299990766,35.44113259995356,32.426032299990766,35.44113259995356,space,1,32.426032299990766,None,0.8917255999986082,a,001,2020_May_29_1453,vSearchAlpha3,2020.1.3,60.028189228686124,
0.4,0.2,0.4,0.0,0.2,0.2,0.0,0.2,-0.4,-0.2,0.4,-0.2,None,None,None,0,5,5,5,,,,,,,,,,,,,,,,,39.40634979994502,40.406103900051676,36.42416399996728,39.439695499953814,36.42416399996728,39.439695499953814,36.42416399996728,39.439695499953814,36.42416399996728,39.439695499953814,36.42416399996728,39.439695499953814,36.42416399996728,39.439695499953814,36.42416399996728,39.439695499953814,None,1,36.42416399996728,None,,a,001,2020_May_29_1453,vSearchAlpha3,2020.1.3,60.028189228686124,
None,None,-0.2,0.2,0.0,0.2,0.4,0.2,0.2,0.2,0.0,0.0,-0.2,0.0,space,0,6,6,6,,,,,,,,,,,,,,,,,43.40540100005455,44.405115699977614,40.423125399975106,43.43868120003026,40.423125399975106,43.43868120003026,40.423125399975106,43.43868120003026,40.423125399975106,43.43868120003026,40.423125399975106,43.43868120003026,40.423125399975106,43.43868120003026,40.423125399975106,43.43868120003026,space,1,40.423125399975106,None,1.3026133999228477,a,001,2020_May_29_1453,vSearchAlpha3,2020.1.3,60.028189228686124,
-0.4,-0.2,0.2,0.2,0.0,0.0,0.4,-0.2,None,None,-0.2,0.2,0.4,0.2,space,0,7,7,7,,,,,,,,,,,,,,,,,47.40434520004783,48.40406149998307,44.42352780001238,47.43770160002168,44.42352780001238,47.43770160002168,44.42352780001238,47.43770160002168,44.42352780001238,47.43770160002168,44.42352780001238,47.43770160002168,44.42352780001238,47.43770160002168,44.42352780001238,47.43770160002168,space,1,44.42352780001238,None,1.462222300004214,a,001,2020_May_29_1453,vSearchAlpha3,2020.1.3,60.028189228686124,
